Date,Day of Week,origin_census_block_group,Weight,Race,Entropy_norm,Entropy_cat,device_count,Amplitude,Phase Angle,Baseline,R2,Adjusted R2,Residuals Sum,Range,Time,Time1,Time2
2019-01-02,Wednesday,293936388614.5514,17.399960732736965,1.0,0.38681143104952376,1.4585242610922682,1471.62160310099,0.11083821329454877,1.171539801788042,0.4674999205111451,0.967694670505745,0.9628488710816068,0.005050064683910248,0.2216764265890976,4.288496061119722,12.711503938880277,12:42
2019-01-03,Thursday,293834858534.6826,17.518905737130936,1.0,0.3868074122500961,1.4584741771029588,1472.0182450404525,0.12580495801644756,1.073412376928275,0.4655029577258018,0.9699265300609452,0.9654155095700871,0.006006584364613234,0.2516099160328951,3.929294372575582,13.070705627424418,13:04
2019-01-04,Friday,293937125281.1842,17.671821978037126,1.0,0.3869321429534518,1.4585769068075751,1472.9552726289292,0.12063855409245022,1.0287552876056365,0.4601250259582443,0.9598316738940872,0.9538064249782005,0.007432546618170822,0.24127710818490045,3.7658242528503147,13.234175747149685,13:14
2019-01-07,Monday,293769915150.3099,17.022072338864007,1.0,0.3865055127305541,1.4579759744426581,1469.2932815378565,0.13961382021366234,1.4256431289246907,0.45984680876413897,0.9701145544105816,0.9656317375721688,0.007468854130097896,0.2792276404273247,5.218657474227298,11.781342525772702,11:46
2019-01-08,Tuesday,293903640339.85645,16.737018623009426,1.0,0.3862627826500302,1.4575014300580982,1468.403021385399,0.15019329313817184,1.272035691199537,0.4629917779228373,0.9557826618740156,0.949150061155118,0.012914886395142764,0.3003865862763437,4.656367665005607,12.343632334994393,12:20
2019-01-09,Wednesday,293745789227.04456,16.45726468337283,1.0,0.3863833049497515,1.4578467379193665,1466.813594409827,0.1509396621737463,1.2790997492654013,0.4672850993431321,0.9592380235846812,0.9531237271223834,0.011984609998200908,0.3018793243474926,4.682226099473429,12.317773900526571,12:19
2019-01-10,Thursday,293821677799.7706,16.416339305122666,1.0,0.3863912786588757,1.4577603008119444,1467.846956413947,0.15340875049710032,1.2260780379413163,0.4659308431068448,0.959400849933052,0.9533109774230096,0.012298302354628305,0.30681750099420063,4.488136748159777,12.511863251840223,12:30
2019-01-11,Friday,293712067940.83826,16.036666507198223,1.0,0.386293165729144,1.4575857397308318,1466.720186230753,0.1346162435728668,1.1488661490725431,0.4510543457714723,0.9490221825188394,0.9413755098966652,0.011970729705923472,0.2692324871457336,4.205497711244448,12.794502288755552,12:47
2019-01-14,Monday,293615246852.76245,16.508844458876393,1.0,0.3865146694779175,1.4580240963855422,1467.7488674698795,0.14940717868087194,1.2511131761713372,0.47495313637432107,0.9624298350834664,0.9567943103459864,0.010773700597030934,0.2988143573617439,4.579779466166601,12.4202205338334,12:25
2019-01-15,Tuesday,293670176651.7557,16.676442463783676,1.0,0.3865554113465482,1.458131678731472,1468.7196483971045,0.1517231670084086,1.2560713547782565,0.4651905102492189,0.9632605945406186,0.9577496837217114,0.01085772882740839,0.3034463340168172,4.597929194749146,12.402070805250855,12:24
2019-01-16,Wednesday,293611045521.91345,16.308728733340885,1.0,0.3863188606555813,1.4577115795695894,1466.4956457189205,0.14667175558216344,1.2810905093631968,0.4634269179737217,0.957203297767568,0.9507837924327032,0.011907598105916043,0.2933435111643269,4.689513403605137,12.310486596394863,12:18
