name,state,White,Hispanic,Black
AL,1,12:27,12:47,13:04
AK,2,12:30,12:54,
AZ,4,12:27,12:29,12:35
AR,5,12:37,13:02,13:13
CA,6,12:36,12:31,12:56
CO,8,12:42,12:48,13:16
CT,9,12:41,13:21,13:36
DE,10,12:50,13:31,13:34
DC,11,13:51,13:48,13:58
FL,12,12:52,12:54,13:29
GA,13,12:45,13:12,13:28
HI,15,12:03,12:44,
ID,16,12:45,12:47,
IL,17,12:45,13:01,13:36
IN,18,12:49,13:19,13:54
IA,19,12:39,13:17,14:02
KS,20,12:43,13:14,13:31
KY,21,12:53,13:30,14:11
LA,22,12:29,12:55,13:07
ME,23,12:45,,
MD,24,12:44,13:05,13:23
MA,25,12:49,13:24,13:24
MI,26,12:57,13:22,14:22
MN,27,12:48,13:25,13:51
MS,28,12:30,13:21,13:01
MO,29,12:39,13:04,13:33
MT,30,12:49,,
NE,31,12:43,13:03,13:54
NV,32,12:30,12:39,13:11
NH,33,12:39,12:45,
NJ,34,12:45,13:07,13:41
NM,35,12:39,12:49,
NY,36,12:59,13:33,13:39
NC,37,12:48,13:03,13:35
ND,38,12:54,,
OH,39,12:55,14:04,14:08
OK,40,12:45,12:59,13:30
OR,41,12:38,12:33,
PA,42,12:49,13:44,13:54
RI,44,12:50,13:21,13:06
SC,45,12:50,13:21,13:16
SD,46,12:49,,14:03
TN,47,12:44,12:53,13:28
TX,48,12:43,12:59,13:12
UT,49,12:49,12:53,
VT,50,12:56,,
VA,51,12:50,12:55,13:27
WA,53,12:31,12:24,13:16
WV,54,13:01,,14:15
WI,55,12:41,13:24,13:47
WY,56,12:38,13:09,
