Race,Device_Count_Group,count,mean,std,se
White,Low,33246,0.1966752097288298,0.1343749514637207,0.0007369679820450171
Hispanic,Low,4419,0.20997998363872622,0.14110800866903697,0.0021227050949767148
Black,Low,4994,0.28318360388228114,0.14246120744894442,0.0020159156293237316
White,Medium-Low,32162,0.11812889642641503,0.09088798061007138,0.0005067980443928406
Hispanic,Medium-Low,5773,0.12818938551135234,0.09656142996237288,0.0012708752142583553
Black,Medium-Low,4097,0.1819670859164635,0.10984705951667127,0.00171615082666504
White,Medium-High,32146,0.08310127387803302,0.07524974790285109,0.0004197025222254497
Hispanic,Medium-High,5912,0.08412132938957563,0.06821508764978407,0.0008871830356124788
Black,Medium-High,3383,0.1242711861948152,0.09147405099752734,0.0015727037186539985
White,High,34158,0.08047881813107399,0.10790542832589116,0.0005838443420704935
Hispanic,High,4351,0.08309831261644138,0.10289755679923737,0.0015599494357418488
Black,High,2689,0.11404393791242842,0.12794750133235794,0.0024673820895937957
