origin_census_block_group,Tot_Population_ACS_15_19,Race,Entropy_norm,Entropy_cat,permeability_mean,sample_count,range_mean,range_variance,range_median,phase_angle_mean,phase_angle_variance,phase_angle_median,baseline_mean,baseline_variance,baseline_median,Time,Time1,Time2
295101014002,1016,3,0.5666108624832243,2,0.0623843209837814,251,0.12533027100948127,0.00643587923083013,0.13154789777481113,0.5871091987144926,0.42134251284305,0.7089571531288421,0.3888205798794592,0.0018483633000705077,0.3891462789211134,2.149150615533067,14.850849384466931,14:51
295101015002,858,3,0.4660165916016699,2,0.0737237530066215,251,0.17109539059571274,0.00427345000985945,0.17231489889881085,0.8260863437554746,0.18109853975231915,0.8223223315253341,0.42625727337456304,0.0027435423150572913,0.4268564445946701,3.0239416756760726,13.976058324323928,13:58
295101053001,1026,3,0.4059156479128439,1,0.0491445523947095,251,0.20339557556281795,0.005781599943186473,0.20491702962885008,0.8801056820734615,0.2032301084289794,0.9171671260841034,0.4100731587126956,0.003968801561204688,0.4092410513837084,3.2216829041408768,13.778317095859125,13:46
295101053002,855,3,0.2317370894508177,1,0.0529717387758906,251,0.23121424554127,0.011289932043593279,0.2374586126295987,0.9222789115110372,0.305204186123962,1.01447948128628,0.4347409838098026,0.0031180718146035192,0.4317340371416085,3.3760606965570688,13.623939303442931,13:37
295101053003,754,3,0.4784045909942815,2,0.0560463715430056,251,0.2767180176398159,0.009504910354120264,0.27372153347887435,0.9088407326075564,0.11906635155821962,0.9199309735675312,0.4314656412613554,0.003250463651703107,0.4327661646107826,3.3268693867882986,13.673130613211699,13:40
295101054001,938,3,0.4531334937385646,2,0.0514870156899056,251,0.19295367852119213,0.01113227803998114,0.2008773960159016,0.8072385897226059,0.333130033977358,0.8681186711724924,0.4177453890471226,0.004329536846136352,0.4185905417376938,2.9549482716043136,14.045051728395686,14:02
295101054002,1292,3,0.6305321632742011,2,0.068022029528943,251,0.16744766684350856,0.004135756894116191,0.16592364820550407,0.8187929395309317,0.18098050450413794,0.8298160778972191,0.4018871486840552,0.002178889617388754,0.39988688211386936,2.9972437049870964,14.002756295012903,14:00
295101055002,956,3,0.4161683659150016,1,0.0622572471619796,251,0.21652755054862952,0.0074165014204464145,0.21907013549849166,0.9491850293492712,0.2411657914058089,1.0090606846010035,0.446003964902164,0.0019567113377435877,0.4484639896124145,3.4745522545845318,13.525447745415466,13:31
295101055003,921,3,0.0534434903170683,1,0.1038841377162358,251,0.19423148994737446,0.004442770908258,0.18631967785267653,0.8282455762170102,0.09517084297201553,0.7869400245436113,0.3508175715130449,0.004216923634020424,0.3383741227205202,3.0318456836254435,13.968154316374555,13:58
295101061001,496,3,0.0653177021229435,1,0.1021719573319625,251,0.13774743403902612,0.007615630782393741,0.14173637703989828,0.5887793945222537,0.4781715548017335,0.6671464223065193,0.3822154338329911,0.0031875316074942393,0.382560525019873,2.1552644736640074,14.844735526335993,14:50
295101063001,402,3,0.0481568210300203,1,0.106142593803889,251,0.18102985545105715,0.010638638130026449,0.1898907659785818,0.8260825938839664,0.3710315751894728,0.9240588435137476,0.43481849769717656,0.0034354467071173057,0.43476013076193504,3.023927949032583,13.976072050967414,13:58
295101065001,1138,3,0.4456703076565839,2,0.0460898059781962,251,0.16938700347933858,0.006889824380033183,0.17214128988715138,0.7112391172114492,0.2788241623676995,0.7786212684099522,0.41426065565803466,0.0026515314850189416,0.4149000195421584,2.603536088163916,14.396463911836085,14:23
295101065002,429,3,0.1308357577556426,1,0.0980692614158749,251,0.2443640017385373,0.009091439293148344,0.2403812964083415,0.9043475145806766,0.2204523162228917,0.98135310583824,0.4573954206410142,0.004486728658181671,0.4560549739159202,3.310421676022845,13.689578323977154,13:41
295101067002,952,3,0.0,1,0.0710393719240684,251,0.13277435866062753,0.00521845216231069,0.1338006867259459,0.6330892644164708,0.3678040662788801,0.6733747796487588,0.3860823472851008,0.002427083698860324,0.3877788551989813,2.3174635745567462,14.682536425443256,14:40
295101067003,588,3,0.0971943784631527,1,0.0847494376236549,251,0.17115102858339806,0.007558267779675553,0.1745943464214992,0.6627141107379644,0.2938631477387024,0.6771382217587019,0.4639913724677224,0.003703347636504364,0.4624277329723059,2.425907211356025,14.574092788643975,14:34
295101067004,1104,3,0.0403965679479555,1,0.0465312662393902,251,0.2040216363112852,0.005051708664604633,0.20082281003375813,0.6849255318257468,0.15114532346066073,0.6684875768577512,0.4632425723037843,0.003437405797013677,0.4676655477221732,2.507213532917996,14.492786467082007,14:29
295101073001,797,3,0.1617312179360927,1,0.0717381415367388,251,0.15650899461833628,0.00971237894369038,0.16771666673554775,0.903749660126722,0.4676053188150489,1.0545744869120284,0.43833316069050055,0.0021363687508180822,0.4359405227805809,3.3082331917161283,13.691766808283873,13:41
295101074003,1020,3,0.2297037140509564,1,0.0508983673150536,251,0.1305221225883033,0.00950165746872198,0.14038553549312313,0.4380192632817321,0.436649071099279,0.5336297532382843,0.4433274929124155,0.002688193363061519,0.44336740811907177,1.6033974111774338,15.396602588822565,15:23
