Variable,Coefficient,std,p-value
% Hispanic,-0.450899739,0.010581218776451136,0
% Black,0.11939139304222147,0.009179572317342791,1.177913705825996e-38
Poverty Rate,0.9179819314282822,0.018485730534328875,0
Unemployment Rate,0.8305234631247307,0.0339248391639132,4.001062160423889e-132
% Age 65Plus,1.2975195825275163,0.01966633937795089,0
% Not High School Degree,0.7361748396826444,0.021789777730571662,2.2570263055864716e-249
% Owner-Occupied Housing,-0.272312617,0.009356109600137158,8.971792040429446e-186
% Vacant Housing Units,1.003939142076674,0.016483218673691617,0
Employment–Housing Entropy,0.2522322112307828,0.00813882793317033,2.802152117536237e-210
Street Connectivity,0.0019055947900992888,2.5717552593594087e-05,0
