origin_census_block_group,device_count,completely_home_device_count,part_time_work_behavior_devices,full_time_work_behavior_devices,delivery_behavior_devices,at_home_by_each_hour
xxxxxxxxxxx1,80,25,4,2,1,"[39,42,39,41,45,43,38,31,30,30,27,31,30,32,34,22,24,31,34,38,42,43,40,37]"
xxxxxxxxxxx2,269,96,16,7,1,"[73,74,64,69,69,70,69,68,65,53,44,51,55,53,59,51,45,43,41,53,55,59,63,66]"
xxxxxxxxxxx3,95,38,6,1,1,"[35,41,41,39,40,38,37,38,32,36,33,35,37,34,36,36,35,34,35,38,41,43,45,44]"
xxxxxxxxxxx4,389,136,40,25,7,"[240,239,241,239,238,239,233,208,182,166,162,155,152,143,138,141,158,166,168,181,209,220,229,230]"
xxxxxxxxxxx5,17,10,4,3,3,"[4,4,2,1,4,5,5,2,4,2,2,1,3,2,2,2,1,5,7,5,5,5,5,4]"
xxxxxxxxxxx6,79,20,4,4,1,"[11,11,12,12,13,12,14,9,9,10,9,9,11,12,10,9,10,13,11,17,19,15,19,19]"
xxxxxxxxxxx7,132,40,6,1,3,"[65,65,67,74,71,74,76,73,71,65,58,56,49,52,51,50,55,52,58,63,70,72,72,70]"
xxxxxxxxxxx8,78,33,1,1,1,"[46,47,39,42,42,41,42,39,37,36,37,33,35,29,31,30,29,24,30,35,34,41,34,38]"
xxxxxxxxxxx9,88,26,7,8,1,"[56,59,58,59,58,58,55,52,45,42,35,39,42,39,38,31,41,43,47,44,54,58,61,58]"
xxxxxxxxxxx10,65,25,3,7,1,"[36,37,36,39,38,36,37,33,30,26,24,24,24,23,27,24,25,31,33,37,41,41,39,47]"
xxxxxxxxxxx11,80,18,10,2,1,"[53,53,52,52,55,55,52,46,42,38,36,36,33,34,34,41,42,48,47,50,51,49,49,52]"
xxxxxxxxxxx12,210,108,18,10,5,"[110,113,115,118,119,118,111,105,99,92,87,80,83,83,78,79,85,89,87,105,111,117,120,125]"
xxxxxxxxxxx13,112,44,8,2,3,"[62,60,63,65,60,58,61,57,51,52,53,49,46,38,41,34,35,46,56,53,54,59,61,64]"
xxxxxxxxxxx14,74,26,6,4,5,"[51,50,50,48,53,51,50,46,43,40,41,33,34,34,29,37,36,37,43,45,52,47,49,50]"
